Tournament, Gender, Date,Round,Player 1,Player 2,Score,Winner
Nash Cup 2024,Women's,18 Sep 2024 • 16:30,Round 2,Emilia Soini,Marta Dominguez,"0-3, 6-11, 4-11, 8-11, ---, ---",Marta Dominguez
Nash Cup 2024,Women's,18 Sep 2024 • 17:15,Round 2,Asia Harris,Grace Gear,"0-3, 4-11, 10-12, 9-11, ---, ---",Grace Gear
Nash Cup 2024,Women's,18 Sep 2024 • 18:30,Round 2,Salma Eltayeb,Caroline Fouts,"1-3, 11-9, 8-11, 8-11, 8-11, ---",Caroline Fouts
Nash Cup 2024,Women's,18 Sep 2024 • 19:15,Round 2,Nga Ching Cheng,Torrie Malik,"0-3, 6-11, 6-11, 7-11, ---, ---",Torrie Malik
Nash Cup 2024,Women's,18 Sep 2024 • 20:00,Round 2,Nicole Bunyan,Saran Nghiem,"1-3, 11-2, 9-11, 4-11, 4-11, ---",Saran Nghiem
Nash Cup 2024,Women's,18 Sep 2024 • 20:45,Round 2,Nour Heikal,Georgia Adderley,"1-3, 10-12, 11-6, 8-11, 5-11, ---",Georgia Adderley
Nash Cup 2024,Women's,-,Round 1,Katie Malliff,BYE,"---, ---, ---, ---, ---, ---",BYE
Nash Cup 2024,Women's,17 Sep 2024 • 15:00,Round 1,Elise Romba,Alex Haydon,"1-3, 11-4, 4-11, 4-11, 5-11, ---",Alex Haydon
Nash Cup 2024,Women's,17 Sep 2024 • 15:45,Round 1,Catalina Pelaez,Iman Shaheen,"3-0, 11-6, 11-7, 11-5, ---, ---",Catalina Pelaez
Nash Cup 2024,Women's,-,Round 1,BYE,Marina Stefanoni,"---, ---, ---, ---, ---, ---",Marina Stefanoni
Nash Cup 2024,Women's,-,Round 1,Emilia Soini,BYE,"---, ---, ---, ---, ---, ---",BYE
Nash Cup 2024,Women's,17 Sep 2024 • 16:30,Round 1,Katerina Tycova,Marta Dominguez,"0-3, 7-11, 5-11, 2-11, ---, ---",Marta Dominguez
Nash Cup 2024,Women's,17 Sep 2024 • 17:15,Round 1,Asia Harris,Wai Yhann Au Yeong,"3-2, 7-11, 11-6, 11-9, 6-11, 11-7",Asia Harris
Nash Cup 2024,Women's,-,Round 1,BYE,Grace Gear,"---, ---, ---, ---, ---, ---",Grace Gear
Nash Cup 2024,Women's,-,Round 1,Salma Eltayeb,BYE,"---, ---, ---, ---, ---, ---",BYE
Nash Cup 2024,Women's,17 Sep 2024 • 18:30,Round 1,Amal Izhar,Caroline Fouts,"0-3, 3-11, 11-13, 7-11, ---, ---",Caroline Fouts
Nash Cup 2024,Women's,17 Sep 2024 • 19:15,Round 1,Nga Ching Cheng,Lowri Roberts,"3-2, 11-9, 5-11, 6-11, 11-6, 11-6",Nga Ching Cheng
Nash Cup 2024,Women's,-,Round 1,BYE,Torrie Malik,"---, ---, ---, ---, ---, ---",Torrie Malik
Nash Cup 2024,Women's,-,Round 1,Nicole Bunyan,BYE,"---, ---, ---, ---, ---, ---",BYE
Nash Cup 2024,Women's,17 Sep 2024 • 20:00,Round 1,Alison Thomson,Saran Nghiem,"0-3, 2-11, 6-11, 7-11, ---, ---",Saran Nghiem
Nash Cup 2024,Women's,17 Sep 2024 • 20:45,Round 1,Nour Heikal,Sofía Mateos,"3-0, 11-4, 11-5, 11-6, ---, ---",Nour Heikal
Nash Cup 2024,Women's,-,Round 1,BYE,Georgia Adderley,"---, ---, ---, ---, ---, ---",Georgia Adderley
Budapest Open 2024,Men's,26 Sep 2024 • 19:00,Final,Jonah Bryant,Declan James,"3-1, 11-5, 8-11, 11-2, 11-3, ---",Jonah Bryant
Budapest Open 2024,Men's,25 Sep 2024 • 19:00,Semi final,Jonah Bryant,Patrick Rooney,"3-0, 11-9, 11-7, 11-5, ---, ---",Jonah Bryant
Budapest Open 2024,Men's,25 Sep 2024 • 18:00,Semi final,Mohamed Abouelghar,Declan James,"2-3, 9-11, 11-5, 11-9, 7-11, 7-11",Declan James
Budapest Open 2024,Men's,24 Sep 2024 • 18:00,Quarter final,Jonah Bryant,Yassin Elshafei,"3-0, 11-5, 11-4, 12-10, ---, ---",Jonah Bryant
Budapest Open 2024,Men's,24 Sep 2024 • 19:00,Quarter final,Patrick Rooney,Emyr Evans,"3-0, 11-3, 11-8, 12-10, ---, ---",Patrick Rooney
Budapest Open 2024,Men's,24 Sep 2024 • 16:00,Quarter final,George Parker,Mohamed Abouelghar,"0-3, 4-11, 7-11, 6-11, ---, ---",Mohamed Abouelghar
Budapest Open 2024,Men's,24 Sep 2024 • 15:00,Quarter final,Yannick Wilhelmi,Declan James,"2-3, 9-11, 11-4, 11-5, 12-14, 6-11",Declan James
Budapest Open 2024,Men's,23 Sep 2024 • 18:00,Round 2,Leandro Romiglio,Jonah Bryant,"0-3, 5-11, 10-12, 6-11, ---, ---",Jonah Bryant
Budapest Open 2024,Men's,23 Sep 2024 • 12:00,Round 2,Yassin Elshafei,Bernat Jaume,"3-1, 4-11, 11-8, 18-16, 11-8, ---",Yassin Elshafei
Budapest Open 2024,Men's,23 Sep 2024 • 13:00,Round 2,Patrick Rooney,Daniel Poleshchuk,"3-2, 11-6, 11-5, 9-11, 8-11, 11-3",Patrick Rooney
Budapest Open 2024,Men's,23 Sep 2024 • 19:00,Round 2,Emyr Evans,Balazs Farkas,"3-2, 13-11, 1-11, 4-11, 11-6, 12-10",Emyr Evans
Budapest Open 2024,Men's,23 Sep 2024 • 14:00,Round 2,George Parker,Toufik Mekhalfi,"3-1, 12-10, 13-15, 11-6, 11-5, ---",George Parker
Budapest Open 2024,Men's,23 Sep 2024 • 15:00,Round 2,Simon Herbert,Mohamed Abouelghar,"1-3, 9-11, 11-9, 8-11, 9-11, ---",Mohamed Abouelghar
Budapest Open 2024,Men's,23 Sep 2024 • 16:00,Round 2,Juan Vargas,Yannick Wilhelmi,"0-3, 5-11, 8-11, 6-11, ---, ---",Yannick Wilhelmi
Budapest Open 2024,Men's,23 Sep 2024 • 17:00,Round 2,Declan James,Omar Mosaad,"3-2, 8-11, 11-9, 9-11, 12-10, 11-8",Declan James
Budapest Open 2024,Men's,-,Round 1,Leandro Romiglio,BYE,"---, ---, ---, ---, ---, ---",BYE
Budapest Open 2024,Men's,22 Sep 2024 • 17:00,Round 1,Barnabas Sali,Jonah Bryant,"0-3, 6-11, 0-11, 5-11, ---, ---",Jonah Bryant
Budapest Open 2024,Men's,22 Sep 2024 • 19:00,Round 1,Yassin Elshafei,Benedek Takacs,"3-1, 10-12, 11-8, 11-3, 11-3, ---",Yassin Elshafei
Budapest Open 2024,Men's,-,Round 1,BYE,Bernat Jaume,"---, ---, ---, ---, ---, ---",Bernat Jaume
Budapest Open 2024,Men's,-,Round 1,Patrick Rooney,BYE,"---, ---, ---, ---, ---, ---",BYE
Budapest Open 2024,Men's,22 Sep 2024 • 13:00,Round 1,Temwa Chileshe,Daniel Poleshchuk,"0-3, 3-11, 7-11, 3-11, ---, ---",Daniel Poleshchuk
Budapest Open 2024,Men's,22 Sep 2024 • 14:00,Round 1,Emyr Evans,Martin Svec,"3-0, 11-5, 11-2, 11-9, ---, ---",Emyr Evans
Budapest Open 2024,Men's,-,Round 1,BYE,Balazs Farkas,"---, ---, ---, ---, ---, ---",Balazs Farkas
Budapest Open 2024,Men's,-,Round 1,George Parker,BYE,"---, ---, ---, ---, ---, ---",BYE
Budapest Open 2024,Men's,22 Sep 2024 • 18:00,Round 1,Owain Taylor,Toufik Mekhalfi,"1-3, 9-11, 11-5, 10-12, 8-11, ---",Toufik Mekhalfi
Budapest Open 2024,Men's,22 Sep 2024 • 16:00,Round 1,Simon Herbert,Viktor Byrtus,"3-1, 12-10, 11-6, 11-13, 11-9, ---",Simon Herbert
Budapest Open 2024,Men's,-,Round 1,BYE,Mohamed Abouelghar,"---, ---, ---, ---, ---, ---",Mohamed Abouelghar
Budapest Open 2024,Men's,-,Round 1,Juan Vargas,BYE,"---, ---, ---, ---, ---, ---",BYE
Budapest Open 2024,Men's,22 Sep 2024 • 12:00,Round 1,Mohammad Syafiq Kamal,Yannick Wilhelmi,"1-3, 4-11, 11-9, 11-13, 7-11, ---",Yannick Wilhelmi
Budapest Open 2024,Men's,22 Sep 2024 • 15:00,Round 1,Declan James,Edwin Clain,"3-0, 11-9, 11-5, 11-8, ---, ---",Declan James
Budapest Open 2024,Men's,23 Sep 2024 • 17:00,Round 1,BYE,Omar Mosaad,"---, ---, ---, ---, ---, ---",Omar Mosaad
Charlottesville Open 2024,Men's,28 Sep 2024 • 18:00,Final,Nick Wall,Muhammad Asim Khan,"1-3, 14-12, 10-12, 5-11, 6-11, ---",Muhammad Asim Khan
Charlottesville Open 2024,Men's,27 Sep 2024 • 18:00,Semi final,Nick Wall,Moustafa Elsirty,"3-2, 11-9, 11-2, 9-11, 9-11, 11-3",Nick Wall
Charlottesville Open 2024,Men's,27 Sep 2024 • 19:00,Semi final,Cesar Salazar,Muhammad Asim Khan,"0-3, 5-11, 5-11, 4-11, ---, ---",Muhammad Asim Khan
Charlottesville Open 2024,Men's,26 Sep 2024 • 15:00,Quarter final,Nick Wall,Ryunosuke Tsukue,"3-1, 8-11, 11-6, 11-6, 11-7, ---",Nick Wall
Charlottesville Open 2024,Men's,26 Sep 2024 • 16:00,Quarter final,Ibrahim Elkabbani,Moustafa Elsirty,"2-3, 11-9, 11-8, 6-11, 4-11, 10-12",Moustafa Elsirty
Charlottesville Open 2024,Men's,26 Sep 2024 • 18:00,Quarter final,Karim El Hammamy,Cesar Salazar,"2-3, 4-11, 11-9, 2-11, 11-8, 5-11",Cesar Salazar
Charlottesville Open 2024,Men's,26 Sep 2024 • 19:00,Quarter final,Aly Hussein,Muhammad Asim Khan,"0-3, 3-11, 5-11, 9-11, ---, ---",Muhammad Asim Khan
Charlottesville Open 2024,Men's,25 Sep 2024 • 18:00,Round 2,Nick Wall,Ben Smith,"3-0, 11-9, 11-9, 11-6, ---, ---",Nick Wall
Charlottesville Open 2024,Men's,25 Sep 2024 • 15:00,Round 2,Sanjay Jeeva,Ryunosuke Tsukue,"0-3, 4-11, 3-11, 3-11, ---, ---",Ryunosuke Tsukue
Charlottesville Open 2024,Men's,25 Sep 2024 • 16:00,Round 2,Ibrahim Elkabbani,Muhammad Ashab Irfan,"3-1, 11-8, 11-7, 7-11, 11-7, ---",Ibrahim Elkabbani
Charlottesville Open 2024,Men's,25 Sep 2024 • 15:00,Round 2,Moustafa Elsirty,Rory Stewart,"3-1, 12-10, 4-11, 11-9, 11-4, ---",Moustafa Elsirty
Charlottesville Open 2024,Men's,25 Sep 2024 • 16:00,Round 2,Karim El Hammamy,Spencer Lovejoy,"3-0, 11-5, 11-8, 11-8, ---, ---",Karim El Hammamy
Charlottesville Open 2024,Men's,25 Sep 2024 • 18:00,Round 2,Tom Walsh,Cesar Salazar,"1-3, 11-5, 8-11, 5-11, 9-11, ---",Cesar Salazar
Charlottesville Open 2024,Men's,25 Sep 2024 • 19:00,Round 2,Aly Hussein,Addeen Idrakie,"3-1, 14-12, 6-11, 11-1, 11-4, ---",Aly Hussein
Charlottesville Open 2024,Men's,25 Sep 2024 • 19:00,Round 2,Muhammad Asim Khan,Yahya Elnawasany,"3-2, 11-7, 4-11, 11-6, 7-11, 11-7",Muhammad Asim Khan
Charlottesville Open 2024,Men's,-,Round 1,Nick Wall,BYE,"---, ---, ---, ---, ---, ---",BYE
Charlottesville Open 2024,Men's,24 Sep 2024 • 15:00,Round 1,Joseph White,Ben Smith,"0-3, 4-11, 7-11, 8-11, ---, ---",Ben Smith
Charlottesville Open 2024,Men's,24 Sep 2024 • 15:00,Round 1,Sanjay Jeeva,Finnlay Withington,"3-2, 15-13, 5-11, 9-11, 11-9, 11-5",Sanjay Jeeva
Charlottesville Open 2024,Men's,-,Round 1,BYE,Ryunosuke Tsukue,"---, ---, ---, ---, ---, ---",Ryunosuke Tsukue
Charlottesville Open 2024,Men's,-,Round 1,Ibrahim Elkabbani,BYE,"---, ---, ---, ---, ---, ---",BYE
Charlottesville Open 2024,Men's,24 Sep 2024 • 16:00,Round 1,Muhammad Ashab Irfan,Alejandro Enriquez,"3-0, 11-6, 12-10, 11-4, ---, ---",Muhammad Ashab Irfan
Charlottesville Open 2024,Men's,24 Sep 2024 • 16:00,Round 1,Moustafa Elsirty,Karim Elbarbary,"3-0, 11-7, 13-11, 11-7, ---, ---",Moustafa Elsirty
Charlottesville Open 2024,Men's,-,Round 1,BYE,Rory Stewart,"---, ---, ---, ---, ---, ---",Rory Stewart
Charlottesville Open 2024,Men's,-,Round 1,Karim El Hammamy,BYE,"---, ---, ---, ---, ---, ---",BYE
Charlottesville Open 2024,Men's,24 Sep 2024 • 18:00,Round 1,Nicholas Spizzirri,Spencer Lovejoy,"1-3, 11-7, 8-11, 7-11, 10-12, ---",Spencer Lovejoy
Charlottesville Open 2024,Men's,24 Sep 2024 • 18:00,Round 1,Tom Walsh,Lwamba Chileshe,"3-0, 11-4, 11-6, 11-5, ---, ---",Tom Walsh
Charlottesville Open 2024,Men's,-,Round 1,BYE,Cesar Salazar,"---, ---, ---, ---, ---, ---",Cesar Salazar
Charlottesville Open 2024,Men's,-,Round 1,Aly Hussein,BYE,"---, ---, ---, ---, ---, ---",BYE
Charlottesville Open 2024,Men's,24 Sep 2024 • 19:00,Round 1,Salah Eltorgman,Addeen Idrakie,"1-3, 9-11, 11-8, 7-11, 10-12, ---",Addeen Idrakie
Charlottesville Open 2024,Men's,24 Sep 2024 • 19:00,Round 1,Muhammad Asim Khan,Diego Gobbi,"3-2, 5-11, 9-11, 11-8, 11-8, 11-8",Muhammad Asim Khan
Charlottesville Open 2024,Men's,-,Round 1,BYE,Yahya Elnawasany,"---, ---, ---, ---, ---, ---",Yahya Elnawasany
Qatar Classic  2024,Men's,05 Oct 2024 • 18:00,Final,Diego Elias,Mostafa Asal,"3-0, 12-10, 12-10, 14-12, ---, ---",Diego Elias
Qatar Classic  2024,Men's,04 Oct 2024 • 16:45,Semi final,Ali Farag,Diego Elias,"0-3, 7-11, 3-11, 6-11, ---, ---",Diego Elias
Qatar Classic  2024,Men's,04 Oct 2024 • 18:15,Semi final,Mostafa Asal,Joel Makin,"3-1, 5-11, 11-5, 11-6, 11-4, ---",Mostafa Asal
Qatar Classic  2024,Men's,03 Oct 2024 • 14:15,Quarter final,Ali Farag,Nicolas Mueller,"3-0, 14-12, 11-5, 11-6, ---, ---",Ali Farag
Qatar Classic  2024,Men's,03 Oct 2024 • 16:45,Quarter final,Tarek Momen,Diego Elias,"1-3, 6-11, 11-9, 4-11, 4-11, ---",Diego Elias
Qatar Classic  2024,Men's,03 Oct 2024 • 18:15,Quarter final,Mostafa Asal,Karim Gawad,"3-1, 9-11, 11-6, 11-7, 11-7, ---",Mostafa Asal
Qatar Classic  2024,Men's,03 Oct 2024 • 15:00,Quarter final,Fares Dessouky,Joel Makin,"1-3, 5-11, 5-11, 11-5, 8-11, ---",Joel Makin
Qatar Classic  2024,Men's,01 Oct 2024 • 16:45,Round 2,Ali Farag,Youssef Soliman,"3-1, 6-11, 11-4, 11-8, 11-4, ---",Ali Farag
Qatar Classic  2024,Men's,01 Oct 2024 • 18:15,Round 2,Nicolas Mueller,Mazen Hesham,"3-1, 12-10, 7-11, 11-7, 11-6, ---",Nicolas Mueller
Qatar Classic  2024,Men's,01 Oct 2024 • 12:45,Round 2,Tarek Momen,Sebastien Bonmalais,"3-0, 11-7, 11-9, 11-9, ---, ---",Tarek Momen
Qatar Classic  2024,Men's,01 Oct 2024 • 14:15,Round 2,Raphael Kandra,Diego Elias,"0-3, 3-11, 5-11, 2-11, ---, ---",Diego Elias
Qatar Classic  2024,Men's,02 Oct 2024 • 16:45,Round 2,Mostafa Asal,Mohamad Zakaria,"3-0, 11-6, 11-7, 11-3, ---, ---",Mostafa Asal
Qatar Classic  2024,Men's,02 Oct 2024 • 18:15,Round 2,Abdulla Al-Tamimi,Karim Gawad,"1-3, 7-11, 11-7, 8-11, 7-11, ---",Karim Gawad
Qatar Classic  2024,Men's,02 Oct 2024 • 12:45,Round 2,Fares Dessouky,Dimitri Steinmann,"3-1, 1-11, 11-8, 12-10, 11-5, ---",Fares Dessouky
Qatar Classic  2024,Men's,02 Oct 2024 • 14:15,Round 2,Auguste Dussourd,Joel Makin,"0-3, 5-11, 6-11, 4-11, ---, ---",Joel Makin
Qatar Classic  2024,Men's,30 Sep 2024 • 14:15,Round 1,Ali Farag,Youssef Ibrahim,"3-0, 11-7, 11-5, 11-7, ---, ---",Ali Farag
Qatar Classic  2024,Men's,30 Sep 2024 • 14:15,Round 1,Youssef Soliman,Aly Abou Eleinen,"3-2, 12-10, 5-11, 11-7, 5-11, 11-6",Youssef Soliman
Qatar Classic  2024,Men's,30 Sep 2024 • 14:15,Round 1,Iker Pajares,Nicolas Mueller,"2-3, 17-15, 4-11, 4-11, 11-6, 7-11",Nicolas Mueller
Qatar Classic  2024,Men's,30 Sep 2024 • 14:15,Round 1,Eain Yow Ng,Mazen Hesham,"2-3, 11-7, 6-11, 3-11, 11-6, 6-11",Mazen Hesham
Qatar Classic  2024,Men's,30 Sep 2024 • 12:45,Round 1,Tarek Momen,Marwan Elshorbagy,"3-2, 12-10, 6-11, 5-11, 11-5, 11-9",Tarek Momen
Qatar Classic  2024,Men's,30 Sep 2024 • 12:45,Round 1,Salem Al-Malki,Sebastien Bonmalais,"0-3, 5-11, 3-11, 4-11, ---, ---",Sebastien Bonmalais
Qatar Classic  2024,Men's,30 Sep 2024 • 12:45,Round 1,Raphael Kandra,Ramit Tandon,"3-1, 13-11, 7-11, 11-5, 11-9, ---",Raphael Kandra
Qatar Classic  2024,Men's,30 Sep 2024 • 12:45,Round 1,Leonel Cardenas,Diego Elias,"0-3, 3-11, 8-11, 7-11, ---, ---",Diego Elias
Qatar Classic  2024,Men's,30 Sep 2024 • 18:15,Round 1,Mostafa Asal,Timothy Brownell,"3-0, 11-3, 11-5, 11-9, ---, ---",Mostafa Asal
Qatar Classic  2024,Men's,30 Sep 2024 • 18:15,Round 1,Mohamad Zakaria,Leandro Romiglio,"3-0, 11-8, 11-6, 11-2, ---, ---",Mohamad Zakaria
Qatar Classic  2024,Men's,30 Sep 2024 • 18:15,Round 1,Abdulla Al-Tamimi,Adrian Waller,"3-1, 11-9, 11-13, 11-2, 12-10, ---",Abdulla Al-Tamimi
Qatar Classic  2024,Men's,30 Sep 2024 • 18:15,Round 1,Baptiste Masotti,Karim Gawad,"0-3, 10-12, 9-11, 7-11, ---, ---",Karim Gawad
Qatar Classic  2024,Men's,30 Sep 2024 • 16:45,Round 1,Mohamed Elshorbagy,Fares Dessouky,"2-3, 7-11, 3-11, 11-7, 12-10, 10-12",Fares Dessouky
Qatar Classic  2024,Men's,30 Sep 2024 • 16:45,Round 1,Dimitri Steinmann,Patrick Rooney,"3-0, 11-9, 11-4, 11-8, ---, ---",Dimitri Steinmann
Qatar Classic  2024,Men's,30 Sep 2024 • 16:45,Round 1,Greg Lobban,Auguste Dussourd,"2-3, 11-8, 11-9, 7-11, 7-11, 9-11",Auguste Dussourd
Qatar Classic  2024,Men's,30 Sep 2024 • 16:45,Round 1,Joel Makin,Paul Coll,"3-0, 11-8, 11-4, 11-4, ---, ---",Joel Makin
Qatar Classic  2024,Women's,05 Oct 2024 • 16:00,Final,Nour ElSherbini,Nouran Gohar,"3-2, 10-12, 5-11, 11-6, 11-9, 11-6",Nour ElSherbini
Qatar Classic  2024,Women's,04 Oct 2024 • 16:00,Semi final,Nour ElSherbini,Hania El Hammamy,"3-2, 10-12, 12-10, 4-11, 11-5, 11-9",Nour ElSherbini
Qatar Classic  2024,Women's,04 Oct 2024 • 17:30,Semi final,Olivia Weaver,Nouran Gohar,"1-3, 5-11, 11-6, 9-11, 6-11, ---",Nouran Gohar
Qatar Classic  2024,Women's,03 Oct 2024 • 13:30,Quarter final,Nour ElSherbini,Georgina Kennedy,"3-1, 11-6, 7-11, 14-12, 11-5, ---",Nour ElSherbini
Qatar Classic  2024,Women's,03 Oct 2024 • 12:45,Quarter final,Tinne Gilis,Hania El Hammamy,"0-3, 6-11, 10-12, 5-11, ---, ---",Hania El Hammamy
Qatar Classic  2024,Women's,03 Oct 2024 • 17:30,Quarter final,Nele Gilis-Coll,Olivia Weaver,"2-3, 8-11, 11-2, 12-10, 8-11, 6-11",Olivia Weaver
Qatar Classic  2024,Women's,03 Oct 2024 • 16:00,Quarter final,Amina Orfi,Nouran Gohar,"1-3, 7-11, 6-11, 11-9, 7-11, ---",Nouran Gohar
Qatar Classic  2024,Women's,01 Oct 2024 • 16:00,Round 2,Nour ElSherbini,Sana Ibrahim,"3-0, 11-5, 11-5, 11-8, ---, ---",Nour ElSherbini
Qatar Classic  2024,Women's,01 Oct 2024 • 17:30,Round 2,Tesni Murphy,Georgina Kennedy,"0-3, 3-11, 4-11, 3-11, ---, ---",Georgina Kennedy
Qatar Classic  2024,Women's,01 Oct 2024 • 12:00,Round 2,Tinne Gilis,Jasmine Hutton,"3-1, 4-11, 11-6, 14-12, 11-5, ---",Tinne Gilis
Qatar Classic  2024,Women's,01 Oct 2024 • 13:30,Round 2,Salma Eltayeb,Hania El Hammamy,"0-3, 7-11, 5-11, 9-11, ---, ---",Hania El Hammamy
Qatar Classic  2024,Women's,02 Oct 2024 • 16:00,Round 2,Nele Gilis-Coll,Emily Whitlock,"3-0, 11-4, 11-3, 11-6, ---, ---",Nele Gilis-Coll
Qatar Classic  2024,Women's,02 Oct 2024 • 17:30,Round 2,Fayrouz Aboelkheir,Olivia Weaver,"0-3, 5-11, 0-11, 12-14, ---, ---",Olivia Weaver
Qatar Classic  2024,Women's,02 Oct 2024 • 12:00,Round 2,Lucy Turmel,Amina Orfi,"0-3, 4-11, 4-11, 12-14, ---, ---",Amina Orfi
Qatar Classic  2024,Women's,02 Oct 2024 • 13:30,Round 2,Nada Abbas,Nouran Gohar,"0-3, 6-11, 6-11, 7-11, ---, ---",Nouran Gohar
Qatar Classic  2024,Women's,30 Sep 2024 • 13:30,Round 1,Nour ElSherbini,Sarah-Jane Perry,"3-0, 11-5, 11-9, 11-7, ---, ---",Nour ElSherbini
Qatar Classic  2024,Women's,30 Sep 2024 • 13:30,Round 1,Sana Ibrahim,Hana Ramadan,"3-1, 10-12, 11-7, 11-6, 11-9, ---",Sana Ibrahim
Qatar Classic  2024,Women's,30 Sep 2024 • 16:00,Round 1,Georgia Adderley,Tesni Murphy,"2-3, 5-11, 11-8, 13-11, 7-11, 8-11",Tesni Murphy
Qatar Classic  2024,Women's,30 Sep 2024 • 16:00,Round 1,Hollie Naughton,Georgina Kennedy,"0-3, 6-11, 5-11, 7-11, ---, ---",Georgina Kennedy
Qatar Classic  2024,Women's,30 Sep 2024 • 12:00,Round 1,Tinne Gilis,Lisa Aitken,"1-1, 11-3, ---, ---, ---, ---",Tinne Gilis
Qatar Classic  2024,Women's,30 Sep 2024 • 12:00,Round 1,Jasmine Hutton,Mariam Metwally,"3-0, 11-7, 11-6, 11-2, ---, ---",Jasmine Hutton
Qatar Classic  2024,Women's,30 Sep 2024 • 12:00,Round 1,Tomato Ho,Salma Eltayeb,"0-3, 6-11, 8-11, 7-11, ---, ---",Salma Eltayeb
Qatar Classic  2024,Women's,30 Sep 2024 • 12:00,Round 1,Satomi Watanabe,Hania El Hammamy,"0-3, 10-12, 5-11, 9-11, ---, ---",Hania El Hammamy
Qatar Classic  2024,Women's,30 Sep 2024 • 17:30,Round 1,Nele Gilis-Coll,Joelle King,"3-1, 9-11, 12-10, 11-4, 11-2, ---",Nele Gilis-Coll
Qatar Classic  2024,Women's,30 Sep 2024 • 17:30,Round 1,Emily Whitlock,Malak Khafagy,"3-2, 11-3, 11-9, 9-11, 8-11, 12-10",Emily Whitlock
Qatar Classic  2024,Women's,30 Sep 2024 • 17:30,Round 1,Menna Hamed,Fayrouz Aboelkheir,"0-3, 7-11, 6-11, 4-11, ---, ---",Fayrouz Aboelkheir
Qatar Classic  2024,Women's,30 Sep 2024 • 17:30,Round 1,Zeina Mickawy,Olivia Weaver,"0-3, 9-11, 1-11, 3-11, ---, ---",Olivia Weaver
Qatar Classic  2024,Women's,30 Sep 2024 • 13:30,Round 1,Rowan Elaraby,Lucy Turmel,"2-3, 11-8, 11-2, 12-14, 7-11, 10-12",Lucy Turmel
Qatar Classic  2024,Women's,30 Sep 2024 • 13:30,Round 1,Amina Orfi,Farida Mohamed,"3-2, 13-15, 10-12, 11-5, 11-6, 11-9",Amina Orfi
Qatar Classic  2024,Women's,30 Sep 2024 • 16:00,Round 1,Salma Hany,Nada Abbas,"RET-, 14-12, 5-7, ---, ---, ---",Nada Abbas
Qatar Classic  2024,Women's,30 Sep 2024 • 16:00,Round 1,Lucy Beecroft,Nouran Gohar,"0-3, 6-11, 8-11, 1-11, ---, ---",Nouran Gohar
Open Squash Classic  2024,Men's,10 Oct 2024 • 19:15,Final,Marwan Elshorbagy,Victor Crouin,"3-1, 11-7, 11-6, 8-11, 11-9, ---",Marwan Elshorbagy
Open Squash Classic  2024,Men's,09 Oct 2024 • 17:45,Semi final,Marwan Elshorbagy,Greg Lobban,"3-1, 14-16, 11-3, 11-9, 11-7, ---",Marwan Elshorbagy
Open Squash Classic  2024,Men's,09 Oct 2024 • 19:45,Semi final,Miguel Rodriguez,Victor Crouin,"0-3, 9-11, 8-11, 5-11, ---, ---",Victor Crouin
Open Squash Classic  2024,Men's,08 Oct 2024 • 16:45,Quarter final,Marwan Elshorbagy,Abhay Singh,"3-1, 14-12, 11-8, 10-12, 11-7, ---",Marwan Elshorbagy
Open Squash Classic  2024,Men's,08 Oct 2024 • 15:15,Quarter final,Nathan Lake,Greg Lobban,"0-3, 6-11, 9-11, 9-11, ---, ---",Greg Lobban
Open Squash Classic  2024,Men's,08 Oct 2024 • 20:15,Quarter final,Miguel Rodriguez,Mohamad Zakaria,"3-0, 11-8, 11-7, 16-14, ---, ---",Miguel Rodriguez
Open Squash Classic  2024,Men's,08 Oct 2024 • 18:45,Quarter final,Velavan Senthilkumar,Victor Crouin,"0-3, 9-11, 5-11, 8-11, ---, ---",Victor Crouin
Open Squash Classic  2024,Men's,07 Oct 2024 • 15:15,Round 2,Marwan Elshorbagy,Mohamed Abouelghar,"3-2, 9-11, 11-8, 4-11, 11-6, 11-7",Marwan Elshorbagy
Open Squash Classic  2024,Men's,07 Oct 2024 • 14:30,Round 2,Abhay Singh,Adrian Waller,"3-3, 4-11, 11-9, 11-9, 2-11, 12-11",Abhay Singh
Open Squash Classic  2024,Men's,07 Oct 2024 • 13:00,Round 2,Nathan Lake,Ibrahim Elkabbani,"3-0, 11-6, 12-10, 11-1, ---, ---",Nathan Lake
Open Squash Classic  2024,Men's,07 Oct 2024 • 13:45,Round 2,Yahya Elnawasany,Greg Lobban,"1-3, 5-11, 7-11, 11-1, 11-13, ---",Greg Lobban
Open Squash Classic  2024,Men's,07 Oct 2024 • 19:15,Round 2,Miguel Rodriguez,Shahjahan Khan,"3-0, 11-8, 11-8, 11-8, ---, ---",Miguel Rodriguez
Open Squash Classic  2024,Men's,07 Oct 2024 • 19:15,Round 2,Mohamad Zakaria,Gregoire Marche,"3-0, 11-5, 11-7, 11-7, ---, ---",Mohamad Zakaria
Open Squash Classic  2024,Men's,07 Oct 2024 • 18:30,Round 2,Omar Mosaad,Velavan Senthilkumar,"0-3, 8-11, 9-11, 8-11, ---, ---",Velavan Senthilkumar
Open Squash Classic  2024,Men's,07 Oct 2024 • 18:30,Round 2,Aly Hussein,Victor Crouin,"0-3, 4-11, 7-11, 5-11, ---, ---",Victor Crouin
Open Squash Classic  2024,Men's,-,Round 1,Marwan Elshorbagy,BYE,"---, ---, ---, ---, ---, ---",BYE
